Ticket ID,Date Created,Issue,State,Zip
4923410,2021-07-26,Billing,MA,1984.0
4947156,2021-08-06,Number Portability (keeping your number if you change providers),CO,80130.0
4957510,2021-08-12,Unwanted Calls,CT,6712.0
5396122,2022-04-02,Unwanted Calls,VA,20194.0
4917724,2021-07-23,Billing,FL,33301.0
5381313,2022-03-29,Unwanted Calls,NY,10013.0
5207400,2021-12-23,Availability (including rural call completion),CO,81023.0
5382543,2022-03-29,Unwanted Calls,NC,27603.0
5381218,2022-03-29,Unwanted Calls,CO,80026.0
5382278,2022-03-29,Unwanted Calls,FL,33026.0
4888655,2021-07-08,Availability,PA,16743.0
4876693,2021-07-01,Billing,NC,28752.0
5381356,2022-03-29,Unwanted Calls,NJ,8016.0
4848215,2021-06-17,Equipment,VA,22963.0
4929255,2021-07-28,Cramming (unauthorized charges on your phone bill),CA,94601.0
5206957,2021-12-23,Unwanted Calls,MA,1720.0
5207060,2021-12-23,Unwanted Calls,NC,27502.0
5396394,2022-04-02,Indecency,OR,97601.0
5206325,2021-12-23,Unwanted Calls,CA,91354.0
5207073,2021-12-23,Unwanted Calls,OH,44137.0
5396605,2022-04-02,Availability,TX,77868.0
5585340,2022-07-05,Availability,AL,35133.0
5396944,2022-04-03,Indecency,CA,91320.0
5585480,2022-07-05,Availability,OK,74074.0
5396358,2022-04-02,Availability (including rural call completion),FL,32309.0
5583932,2022-07-05,Unwanted Calls,TX,75803.0
4888929,2021-07-08,Billing,WI,54949.0
5206147,2021-12-23,Availability,FL,33905.0
4958362,2021-08-12,Equipment,IN,47711.0
4957765,2021-08-12,Unwanted Calls,CA,92120.0
5207547,2021-12-24,Unwanted Calls,NC,27312.0
4958810,2021-08-13,Availability (including rural call completion),PA,19560.0
5206170,2021-12-23,Availability,MD,20747.0
5207581,2021-12-24,Indecency,AZ,85712.0
4956491,2021-08-12,Unwanted Calls,CA,0.0
5396982,2022-04-03,Unwanted Calls,PA,19083.0
5206333,2021-12-23,Unwanted Calls,CA,92116.0
5381497,2022-03-29,Unwanted Calls,FL,33566.0
5396203,2022-04-02,Availability,CA,92335.0
4935164,2021-08-01,Billing,IN,46176.0
